time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-07T05:04:26.220Z,35.0931667,-119.0983333,5.86,2.82,ml,17,181,0.03649,0.21,ci,ci40865664,2024-08-07T07:28:00.407Z,"23 km NW of Grapevine, CA",earthquake,0.62,1.28,0.101,9,automatic,ci,ci
2024-08-07T05:03:44.640Z,35.0999985,-119.0686646,9.77,3.21,ml,72,36,0.04313,0.34,ci,ci40865656,2024-08-07T05:54:07.040Z,"22 km NW of Grapevine, CA",earthquake,0.26,0.69,0.386,24,automatic,ci,ci
2024-08-07T04:54:23.550Z,35.1016667,-119.104,3.14,2.7,ml,60,24,0.04605,0.27,ci,ci40865592,2024-08-07T09:00:04.986Z,"24 km NW of Grapevine, CA",earthquake,0.21,1.09,0.139,25,automatic,ci,ci
2024-08-07T04:53:29.500Z,35.1078333,-119.1216667,2.34,2.64,ml,53,30,0.05811,0.29,ci,ci40865584,2024-08-07T09:16:36.168Z,"25 km NW of Grapevine, CA",earthquake,0.29,1.15,0.155,27,automatic,ci,ci
2024-08-07T04:52:20.090Z,35.1036682,-119.1106644,9.74,3.02,ml,72,30,0.05007,0.36,ci,ci40865576,2024-08-07T05:06:42.920Z,"24 km NW of Grapevine, CA",earthquake,0.31,0.76,0.389,24,reviewed,ci,ci
2024-08-07T04:48:20.340Z,35.0978317,-119.1106644,11.68,2.99,ml,69,25,0.04492,0.28,ci,ci40865552,2024-08-07T08:59:42.078Z,"24 km NW of Grapevine, CA",earthquake,0.25,0.91,0.482,7,reviewed,ci,ci
2024-08-07T04:46:56.000Z,35.0965004,-119.1086655,11.53,3.49,mlr,99,34,0.04296,0.29,ci,ci40865544,2024-08-07T08:34:32.918Z,"24 km NW of Grapevine, CA",earthquake,0.22,0.84,0.356,19,reviewed,ci,ci
2024-08-07T04:46:26.180Z,35.112,-119.1091667,1.03,2.45,ml,42,35,0.05719,0.27,ci,ci40865536,2024-08-07T06:37:03.517Z,"24 km SW of Lamont, CA",earthquake,0.27,1.3,0.16,21,automatic,ci,ci
2024-08-07T04:45:52.990Z,35.1041667,-119.1138333,1.73,2.69,ml,37,59,0.05171,0.23,ci,ci40865528,2024-08-07T09:43:07.195Z,"24 km NW of Grapevine, CA",earthquake,0.31,0.99,0.186,25,automatic,ci,ci
2024-08-07T04:44:08.710Z,35.1006667,-119.0828333,0.67,2.45,ml,56,40,0.04198,0.27,ci,ci40865496,2024-08-07T08:38:22.191Z,"22 km NW of Grapevine, CA",earthquake,0.24,1,0.16,27,automatic,ci,ci
